username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
kauhabata,Con el poder de hacerte navegar en mis mares una y mil veces.,"Medellín, Colombia",2156,424,36374,2014-12-30 02:18:19,2021-05-20 00:17:52,13,Nalgotas #JamesRodriguez https://t.co/NIlvFPhmAG,"[{'text': 'JamesRodriguez', 'indices': [24, 39]}]"
Loquedeune,,,1077,1195,11805,2015-11-10 00:34:57,2021-05-20 00:01:45,13,Nalgotas #JamesRodriguez https://t.co/NIlvFPhmAG,"[{'text': 'JamesRodriguez', 'indices': [24, 39]}]"
fransiskuswaryz,أبشر بإنجيل يسوع في الحافلات. أنا أؤيد التمرد طالما هناك سبب عادل - يقولون لي باكس. واتس اب:+710045331375,,40,7,1643,2021-04-17 19:05:17,2021-05-19 22:45:41,0,¡Cuando James Rodríguez no juega el Everton gana! #Everton #EvertonFC #JamesRodriguez Buena esa tronco.,"[{'text': 'Everton', 'indices': [50, 58]}, {'text': 'EvertonFC', 'indices': [59, 69]}, {'text': 'JamesRodriguez', 'indices': [70, 85]}]"
Faleg16_,Estudiante de periodismo. ⚽,,216,82,10957,2018-08-17 02:34:56,2021-05-19 21:53:39,3,"Si dudas de su profesionalismo y su compromiso. Si dudas de seguir apoyándolo, y hasta con asomos de burla, aún quedamos muchxs que aquí seguiremos.

Ah! Y por favor asegúrate de cerrar bien esa puerta al irte, no vaya ser que quieras regresar así sea a tirar hate #JamesRodriguez https://t.co/qOuUdY5S4y",[]
Mogdany,"Caerán a tu lado mil, y diez mil a tu diestra; mas a ti no llegará.",,488,2978,22009,2011-11-03 02:28:04,2021-05-19 21:50:29,3,"Si dudas de su profesionalismo y su compromiso. Si dudas de seguir apoyándolo, y hasta con asomos de burla, aún quedamos muchxs que aquí seguiremos.

Ah! Y por favor asegúrate de cerrar bien esa puerta al irte, no vaya ser que quieras regresar así sea a tirar hate #JamesRodriguez https://t.co/qOuUdY5S4y",[]
lovesJR10,@jamesdrodriguez,"Bogotá, D.C., Colombia",239,268,4556,2019-01-12 19:35:05,2021-05-19 21:42:37,3,"Si dudas de su profesionalismo y su compromiso. Si dudas de seguir apoyándolo, y hasta con asomos de burla, aún quedamos muchxs que aquí seguiremos.

Ah! Y por favor asegúrate de cerrar bien esa puerta al irte, no vaya ser que quieras regresar así sea a tirar hate #JamesRodriguez https://t.co/qOuUdY5S4y",[]
smallville465,"En nuestras manos está, mas que nunca, el futuro de nuestro país. ¡Es hora de despertar!",colombia,41,442,21369,2010-05-27 21:30:54,2021-05-19 21:11:19,3,"Si dudas de su profesionalismo y su compromiso. Si dudas de seguir apoyándolo, y hasta con asomos de burla, aún quedamos muchxs que aquí seguiremos.

Ah! Y por favor asegúrate de cerrar bien esa puerta al irte, no vaya ser que quieras regresar así sea a tirar hate #JamesRodriguez https://t.co/qOuUdY5S4y","[{'text': 'JamesRodriguez', 'indices': [265, 280]}]"
MrHugomoreno73,,,95,21,1595,2016-10-12 03:13:57,2021-05-19 21:04:36,0,@ESPNColombia Para nada. Y llama al tronco de #JamesRodriguez q vergüenza.,"[{'text': 'JamesRodriguez', 'indices': [46, 61]}]"
elambito,https://t.co/c3uWnsFVAD,"Barranquilla, Colombia",271,12585,19032,2017-02-26 19:02:57,2021-05-19 20:39:50,0,"James fue descartado horas antes de empezar el encuentro por una fatiga muscular.
#Everton #JamesRodriguez https://t.co/39ZKvPzLbU","[{'text': 'Everton', 'indices': [82, 90]}, {'text': 'JamesRodriguez', 'indices': [91, 106]}]"
Mancman10,"I love socialising, Sport,swimming,long walks music,animals especially cats, politics #Labour fun,i'm easy going, kind, caring,RT's not an endorsement per se",Manchester,5991,6132,409638,2010-03-01 16:09:18,2021-05-19 19:58:24,0,"@randomscouser85 This didn't go down well with Everton fans i see, ""No James"" was trending earlier, i bet he wants out of Everton #EFC #JamesRodriguez https://t.co/yklFrfEVuc","[{'text': 'EFC', 'indices': [130, 134]}, {'text': 'JamesRodriguez', 'indices': [135, 150]}]"
Jamesexy0,James Rodríguez,Colombia,580,2095,487,2019-10-13 04:30:14,2021-05-19 19:39:14,13,Nalgotas #JamesRodriguez https://t.co/NIlvFPhmAG,"[{'text': 'JamesRodriguez', 'indices': [9, 24]}]"
TicoPrada,Ing. Sistemas Especialista en Gerencia de Proyectos,Barranquilla - Colombia,1347,213,561,2010-01-18 22:30:30,2021-05-19 19:38:51,0,La tapa de la olla #JamesRodriguez https://t.co/ZH77fhN0HX,"[{'text': 'JamesRodriguez', 'indices': [19, 34]}]"
VANESSA30830052,caleñidta super hot,cali,37,288,573,2019-08-11 00:32:53,2021-05-19 19:33:22,0,"🚨 VICTORIA DEL EVERTON VS WOLVES 1-0 🚨 JAMES RODRIGUEZ SE VA? PREMIER LEAGUE HOY
VIDEO: https://t.co/qPBCfsH2Uw #richarlison #JR10 #PremierLeague #everton #wolves #Wolverhampton #james #JamesRodriguez https://t.co/ShI83LVeHe","[{'text': 'richarlison', 'indices': [112, 124]}, {'text': 'JR10', 'indices': [125, 130]}, {'text': 'PremierLeague', 'indices': [131, 145]}, {'text': 'everton', 'indices': [146, 154]}, {'text': 'wolves', 'indices': [155, 162]}, {'text': 'Wolverhampton', 'indices': [163, 177]}, {'text': 'james', 'indices': [178, 184]}, {'text': 'JamesRodriguez', 'indices': [185, 200]}]"
AyrtonSEFormul1,Sport Analyst,"Miami Beach, FL",1355,165,45801,2010-11-27 18:14:38,2021-05-19 19:16:55,0,Que harto de ese lloron #JamesRodriguez https://t.co/vTxxtlercV,"[{'text': 'JamesRodriguez', 'indices': [24, 39]}]"
arnaogjmc,"Santa Marta, ciudad dos veces Santa. mi equipo del alma el Unión Magdalena. Trabajo  en la Rama Judicial",Colombia ,289,242,12534,2013-07-14 14:10:30,2021-05-19 19:06:45,0,"@espn @spenbd @jamesdrodriguez #JamesRodriguez los experto dicen que su lesión tiene  solución. Porque James no busca un experto por sus medios? Es que le gusta la comodidad o no es un buen profesional? Si es la misma rotura la que se le repite, esa costumbre debe cambiarse.","[{'text': 'JamesRodriguez', 'indices': [31, 46]}]"
matteusjack,"Gardening Guru, Ageing Marathon Runner, Mad Evertonian and Good Beer Drinker.... me in a nutshell",,280,287,11880,2010-06-13 10:57:51,2021-05-19 17:31:50,0,"#jamesrodriguez I work five days a week and the run three miles or more a day, a lot older than you and not as athletic, I don’t cry off with fatigue","[{'text': 'jamesrodriguez', 'indices': [0, 15]}]"
Quiqueson,"Periodista Deportivo RCN RADIO y Panelista de @latelepolemica en instagram Quiqueson, en https://t.co/gfOhxteOIc como Quique Barona Arango",Bogotá D.C.,726,26124,18667,2010-05-23 00:31:42,2021-05-19 17:11:06,2,"@FCFSeleccionCol y los convocados de @ReinaldoRuedaDT  
Les gusto la convocatoria, falto alguien? 
Recuerda suscribirte    
https://t.co/wrkaqqfx2L a través de @YouTube 
#Seleccióncolombia #ReinadoRueda #JamesRodriguez #falcao  #Cuadrado  #Santosborre #Quiqueson #quiquebarona",[]
Fava38,https://t.co/XYnNvIFfjS,"Bogotá, D.C., Colombia",24,28,2660,2010-06-03 22:12:44,2021-05-19 17:06:59,0,James Rodriguez Increible Razon porque no jugo Everton vs Wolves https://t.co/3iXaMICo01 a través de @YouTube @jamesdrodriguez @Everton #jamesrodriguez #everton,"[{'text': 'jamesrodriguez', 'indices': [136, 151]}, {'text': 'everton', 'indices': [152, 160]}]"
