username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
futbolred,Noticias 📋 y estadísticas 📈 del fútbol profesional en Colombia y el mundo ⚽️ Síganos en Instagram y en Facebook como @Futbolredcom,Bogotá,642,873191,239950,2008-04-15 21:09:25,2021-05-20 00:30:48,0,"#SeleccionColombia 

El volante del Boavista es una de las grandes sorpresas del listado⬇️ https://t.co/ak6hemQITk","[{'text': 'SeleccionColombia', 'indices': [0, 18]}]"
futbolred,Noticias 📋 y estadísticas 📈 del fútbol profesional en Colombia y el mundo ⚽️ Síganos en Instagram y en Facebook como @Futbolredcom,Bogotá,642,873191,239950,2008-04-15 21:09:25,2021-05-19 22:00:18,0,"#SelecciónColombia

El defensor fue llamado para disputar las Eliminatorias con la Selección Colombia. ⬇️ https://t.co/VPZ4d18lk9","[{'text': 'SelecciónColombia', 'indices': [0, 18]}]"
nicovaront,Emprendedor. Comunicador Social y Periodista. Tolimense. @mrfoxyogurt en IG,"Medellín, Colombia",903,1460,8365,2009-09-29 01:18:41,2021-05-19 21:59:19,0,"Entonces, si las convocatorias son por méritos logrados deberíamos poner de DT a Pacho Maturana, el técnico más exitoso de la Sele, aunque ninguno estaría de acuerdo. Conclusión, si el jugador está en gran momento hay que darle confianza, sin importar su nombre #SeleccionColombia","[{'text': 'SeleccionColombia', 'indices': [262, 280]}]"
DanZag94,,,103,4,132,2012-04-26 04:36:00,2021-05-19 21:53:21,0,"QUE TRUCAZO!!!!!!! 😮😮😮

#Everton @Everton 
@EvertonESP #SeleccionColombia @FCFSeleccionCol https://t.co/0bkpALw3lX","[{'text': 'Everton', 'indices': [24, 32]}, {'text': 'SeleccionColombia', 'indices': [55, 73]}]"
futbolred,Noticias 📋 y estadísticas 📈 del fútbol profesional en Colombia y el mundo ⚽️ Síganos en Instagram y en Facebook como @Futbolredcom,Bogotá,642,873191,239950,2008-04-15 21:09:25,2021-05-19 21:30:27,0,"#SelecciónColombia

Al comentarista le parece “inexplicable” el llamado de Juan Fernando Quintero y Sebastián Pérez.⬇️ https://t.co/ViGRz9AORb","[{'text': 'SelecciónColombia', 'indices': [0, 18]}]"
cjotapolania,Editor Deportes El País. Realizador documentales 'La jaula del Palomo' y 'Palomo'. Autor  libro 'Gabriel Ochoa Uribe'. Docente UAO. The Beatles y Rubén Blades,"Cali, Colombia",1677,4143,9121,2020-06-01 18:45:04,2021-05-19 21:23:52,0,"Así somos. Si Rueda hace un llamado igual al que venía de la Selección Colombia, estaríamos diciendo que a qué vino. Y se juega sus cartas de confianza añadidas a la base del equipo y cuestionamos la convocatoria. Duro así. #SeleccionColombia","[{'text': 'SeleccionColombia', 'indices': [224, 242]}]"
ElCali013,"🏟Periodista Deportivo. Estudiante de Fotografía. Viajero empedernido.
Experiencia: medios escritos, radiales, e Internet 🇩🇪Múnich Moscú 🗽New York
🗣Italiano","Lima, Perú",280,400,11608,2013-01-08 23:23:58,2021-05-19 20:38:03,1,"#SeleccionColombia ⚽️🇨🇴Reinaldo Rueda dio a conocer hoy la lista de convocados para los partidos clasificatorios ante 🇵🇪Perú en Lima y 🇦🇷Argentina en Barranquilla. Entre ellos destacan, el portero David Ospina (Napoli🇮🇹), Duván Zapata (Atalanta🇮🇹), y James Rodríguez (Everton🏴󠁧󠁢󠁥󠁮󠁧󠁿) https://t.co/XQ3dKJ90Si","[{'text': 'SeleccionColombia', 'indices': [0, 18]}]"
Joseph_Munoz,♬☆ '♥͡'★♬,,147,870,5569,2011-08-09 22:21:06,2021-05-19 20:19:52,0,"Aldair Quintana es mejor que Ivan Arboleda 🤷🏻 
Que empiece la mermelada Reinaldo Rueda 🍯🍯
#SeleccionColombia","[{'text': 'SeleccionColombia', 'indices': [90, 108]}]"
724noticiascol,"https://t.co/QmRvf5Ka1l es un portal de noticias para Colombia y el mundo, dirigido por Jota Jota Verbel.","Cartagena, Colombia",174,583,7875,2016-12-10 16:51:25,2021-05-19 20:10:37,0,"Presencia de James Rodríguez  y la ausencia de Falcao entre otras las sorpresas en la Convocatoria #SeleccionColombia 
https://t.co/4nBd9zKhd8","[{'text': 'SeleccionColombia', 'indices': [99, 117]}]"
teleheroicatv,"Tele Heroica, — Un producto audiovisual de K16 —.",Cartagena de Indias D.T.C ,54,61,733,2013-12-28 03:10:32,2021-05-19 19:47:31,0,"#Deportes| La @FCFSeleccionCol ya tiene definida la convocatoria para los próximos partidos de eliminatoria.

#TeleHeoricaTeInformaBien #SeleccionColombia
 https://t.co/b56o37wQdb","[{'text': 'Deportes', 'indices': [0, 9]}, {'text': 'TeleHeoricaTeInformaBien', 'indices': [110, 135]}, {'text': 'SeleccionColombia', 'indices': [136, 154]}]"
