username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
pasiontotalfm,PROGRAMA RADIAL DEPORTIVO CON LA MÁS COMPLETA INFORMACIÓN DEL FÚTBOL DE LUNES A VIERNES DE 3:00 PM A 5:00 PM POR 94.1 FM BUENA COMPAÑÍA @RADIO941FM,San Cristóbal  - Táchira,4284,4690,35688,2010-05-23 18:38:01,2021-05-20 01:18:33,0,"#CopaLibertadores ⚽ #J5 | ⏰ ¡ Al aire ! | @DvoTachira 🆚 #AlwaysReady | 

94.1 FM 📻🎙️

@joaonarra 🎙️
@ArmandoGrana22 🎙️🇺🇲
@ChuchoRiveragol 🎙️🇨🇴
@DanielRadioFutb 🎙️
@reinaldom24 🎙️
@FlorangiMorales 🎙️👑
@jesusrcomenta 🎙️
@PacoLavoz93 🎙️
@ciudadaurinegra 🎙️
@SoyMarioLozada 🎙️ https://t.co/WDhfzT6YOm","[{'text': 'CopaLibertadores', 'indices': [0, 17]}, {'text': 'J5', 'indices': [20, 23]}, {'text': 'AlwaysReady', 'indices': [56, 68]}]"
Fuelletorres,,,73,26,329,2013-07-27 04:37:16,2021-05-20 01:18:32,2,#EnzoPerez hoy te convertís en héroe #River #CopaLibertadores @Fuelletorres,"[{'text': 'EnzoPerez', 'indices': [19, 29]}, {'text': 'River', 'indices': [56, 62]}, {'text': 'CopaLibertadores', 'indices': [63, 80]}]"
AurinegroReall,"Dios! Eres Mi Guía. Hincha. ⚽❤Deportivo Táchira❤⚽
     🇻La Vinotinto🇻 Seguidor 🚵 De La Vuelta Al Táchira En Bicicleta🚴  Madridista100% De ❤ Amo A Mi Patria.","Táchira, Venezuela",588,97,2973,2010-09-28 19:42:54,2021-05-20 01:18:28,81,"#ConcursoAurinegro 🏆💛🖤

Condiciones:
RT➕MG
ganador con el marcador exacto y usuario en la página
Ser usuario activo (https://t.co/jKbITXpzdk)
1⃣ comentario por usuario
5⃣ premios a repartir
Válido hasta las 10:00 PM

#CopaLibertadores #Libertadores #Aurinegros #FelizMiercoles https://t.co/8EKKxTxP9t","[{'text': 'ConcursoAurinegro', 'indices': [18, 36]}]"
GonzaInterista,"Opinionista di Twitter. Scrivo tweet in italiano, spagnolo è anche in inglese (forse non sempre i quel ordine). Cuore nerazzurro, sangue italiana e argentina.",,457,159,3407,2021-04-25 16:03:51,2021-05-20 01:18:22,0,@ClubCipolletti te hace más fuerza que éstos colombianos horribles @RiverPlate #CopaLibertadores,"[{'text': 'CopaLibertadores', 'indices': [79, 96]}]"
EladioDelPino1,"taurino con ascendencia en cáncer 

#tauro gustoso de la comida y la familia","Plottier, Neuquen ",1975,537,4249,2012-02-05 22:31:27,2021-05-20 01:18:19,121,"Llegó #EnzoPérez, llegó ¿el arquero?
.
.
#River 
#CopaLibertadores https://t.co/Y5yig9GL5h","[{'text': 'EnzoPérez', 'indices': [26, 36]}, {'text': 'River', 'indices': [61, 67]}, {'text': 'CopaLibertadores', 'indices': [69, 86]}]"
doble5mx,"Fútbol y Rock como estilo de juego,como estilo de vida. #JuegaDeLocal🏠⚽️",Mexico,4477,3463,21639,2018-02-03 21:50:11,2021-05-20 01:18:13,0,"#Libertadores || Segunda parte en el Monumental...

#RiverPlate que está jugando con diez (por COVID solo tiene disponibles 10 futbolistas) y con Enzo Pérez como arquero, le está ganando 2-0 a #IndependienteSantaFe 

🔥⚽️NADIE IMAGINÓ QUE ESTO IBA A PASAR⚽️🔥
#CopaLibertadores https://t.co/ai3oRd31mf","[{'text': 'Libertadores', 'indices': [0, 13]}, {'text': 'RiverPlate', 'indices': [52, 63]}, {'text': 'IndependienteSantaFe', 'indices': [193, 214]}, {'text': 'CopaLibertadores', 'indices': [258, 275]}]"
chayannedetown,Del Verde que Gana Titulos y de cada equipo del exterior donde juegue un Colombiano. Bilingüe un 3%.,Neu York Nalgas,2230,155,2346,2015-08-27 05:31:28,2021-05-20 01:17:58,0,Es desesperante ver a Santa Fe jugar fútbol. O intentarlo. #CopaLibertadores,"[{'text': 'CopaLibertadores', 'indices': [59, 76]}]"
AbotinadasWeb,👠Creado por mujeres que informan de fútbol ⚽️. Radio📻: L a V a las 16.10 por https://t.co/2TODi6lSNq Insta: https://t.co/SoTndDNqbw Un programa hecho de,"Buenos Aires, Argentina",1639,3225,96688,2013-05-05 20:34:19,2021-05-20 01:17:58,0,"⚽61' Tercer cambio en #IndependienteSantaFe: Sherman Cárdenas por Daniel Giraldo, por la #Fecha5 de la #FaseDeGrupos de la #CopaLibertadores.

#LaCopaEnAboti👠","[{'text': 'IndependienteSantaFe', 'indices': [22, 43]}, {'text': 'Fecha5', 'indices': [89, 96]}, {'text': 'FaseDeGrupos', 'indices': [103, 116]}, {'text': 'CopaLibertadores', 'indices': [123, 140]}, {'text': 'LaCopaEnAboti', 'indices': [143, 157]}]"
cuentamemascl,Medio de comunicación/noticias,"Santiago, Chile",25,52,1284,2018-10-12 00:21:51,2021-05-20 01:17:56,0,"La Calera se despidió de Copa Libertadores tras caer ante Vélez: Buscará clasificar a Copa Sudamericana #CopaLibertadores #LaCalera 
https://t.co/dbyyabv18r","[{'text': 'CopaLibertadores', 'indices': [104, 121]}, {'text': 'LaCalera', 'indices': [122, 131]}]"
gouveiamufc,"Tudo sobre o Manchester United!
🇾🇪🏆68🏆99🏆08🇾🇪

Instagram : gouveiamufc",,592,368,664,2021-01-22 19:23:44,2021-05-20 01:17:54,0,"#ConmebolTV esse jogo do Independiente Santa Fé contra o River Plate é uma das piores coisas já vistas na história do futebol.

#CopaLibertadores #Libertadores #RiverPlate","[{'text': 'ConmebolTV', 'indices': [0, 11]}, {'text': 'CopaLibertadores', 'indices': [128, 145]}, {'text': 'Libertadores', 'indices': [146, 159]}, {'text': 'RiverPlate', 'indices': [160, 171]}]"
alex_futbol16,Comentarista Deportivo en @portaldvofm por @Sinergia897 Sigueme y entérate de la mejor Información Deportiva de Lunes a Viernes de 8am a 10am por 89.7fm,"Táchira, Venezuela",394,432,63941,2016-12-04 17:44:26,2021-05-20 01:17:49,1,"Al aire estamos en @imaginacion961 #CopaLibertadores
@DvoTachira vs @ClubAlwaysReady 
Aquí la presentación de Wolfang Oliveros de nuestra Transmisión... 
#BienvenidosABordo
@GiovanniCastroZ
@EduimPuntillaFM
https://t.co/KfBOIYSvI3 https://t.co/BgLiyn87l0","[{'text': 'CopaLibertadores', 'indices': [56, 73]}]"
pepegrillo,"Experto en Streaming, Digital Content Manger/Producer.  Orgulloso padre y esposo. Hincha del millo. Gallina empedernida.  Detractor de tilingos",Buenos Aires,129,164,5803,2008-12-06 15:43:49,2021-05-20 01:17:46,0,"@RiverLPM Vergüenza lo d Carrascal. Los compañeros están haciendo historia, no sólo en #River, en la #CopaLibertadores en el #futbol profesional. Y este pibe, con la #10 en la espalda ni se entero q empezó el partido.
Tene algo d orgullo y devolve la camiseta al fin del partido a #Gallardo","[{'text': 'River', 'indices': [87, 93]}, {'text': 'CopaLibertadores', 'indices': [101, 118]}, {'text': 'futbol', 'indices': [125, 132]}, {'text': 'Gallardo', 'indices': [281, 290]}]"
HerreraMateo02,,"Necochea, Argentina",212,334,3120,2018-09-30 23:59:03,2021-05-20 01:17:45,316,¡ENZO NICOLÁS PÉREZ! #River #CopaLibertadores. https://t.co/JFeOiaRTJA,"[{'text': 'River', 'indices': [36, 42]}, {'text': 'CopaLibertadores', 'indices': [43, 60]}]"
Deportivotve,Noticias & Deportes Del Momento En Vivo !! & Salsa 👍,Cali-Colombia,1988,618,10084,2010-09-16 18:56:32,2021-05-20 01:17:38,0,#CopaLibertadores    #americadecali Vs #DeportivoLaGuaira https://t.co/d8Pw2tTdFZ,"[{'text': 'CopaLibertadores', 'indices': [0, 17]}, {'text': 'americadecali', 'indices': [21, 35]}, {'text': 'DeportivoLaGuaira', 'indices': [39, 57]}]"
