username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
yeisonagudelo,"Designer, TV & Movie lover, Instagram: https://t.co/JqIx8V2zQo",USA/Medellin,396,250,6006,2009-06-18 16:59:32,2021-05-19 23:33:04,1,"La Procuraduría de Antioquia, indicó que el presidente Duque debe nombrar un alcalde 'ad hoc' en Medellín, que se encargará de vigilar los protocolos de bioseguridad durante la recolección de firmas que se adelanta para la revocatoria del alcalde Daniel Quintero.
#Medellin #AdHoc https://t.co/eLjXkncfFO",[]
pilas_col,Nuevo medio de comunicación independiente⚡️,Colombia,21,3082,1311,2021-01-04 01:10:12,2021-05-19 23:27:37,1,"La Procuraduría de Antioquia, indicó que el presidente Duque debe nombrar un alcalde 'ad hoc' en Medellín, que se encargará de vigilar los protocolos de bioseguridad durante la recolección de firmas que se adelanta para la revocatoria del alcalde Daniel Quintero.
#Medellin #AdHoc https://t.co/eLjXkncfFO","[{'text': 'Medellin', 'indices': [264, 273]}, {'text': 'AdHoc', 'indices': [274, 280]}]"
FatimaCherkasov,Investing in emerging micronations. Renewing retrotech for political and economic forecasts. Health and happiness through Gourmet Bathing and Extreme Pedicure!,Nation of Heliotrope,1037,316,206244,2012-05-05 23:49:14,2021-05-19 20:33:18,0,Pocketing #AdHoc #Odometer across #LowCost #Alectormancy,"[{'text': 'AdHoc', 'indices': [10, 16]}, {'text': 'Odometer', 'indices': [17, 26]}, {'text': 'LowCost', 'indices': [34, 42]}, {'text': 'Alectormancy', 'indices': [43, 56]}]"
AdeALejoR,"Hijo, esposo, hermano y tío. Administrador de empresas, libertario","Medellín, Colombia",339,115,1207,2013-03-25 23:53:09,2021-05-19 20:17:00,0,"@SuarezTrinando según le entiendo, con el nombramiento de un alcalde #adhoc @QuinteroCalle sencillamente no va a a poder estar al frente de los temas de Bioseguridad relacionados a la revocatoria? O que otros alcances tiene la decisión de la sra Cabello?","[{'text': 'adhoc', 'indices': [69, 75]}]"
SantosTrampa,"Agradecido con el Presidente @alvarouribevel 
Derecha / Costillas BBQ / Ron /",,561,314,914,2020-12-27 02:47:29,2021-05-19 20:04:52,0,#adhoc,"[{'text': 'adhoc', 'indices': [0, 6]}]"
tgvirtualassist,"Hi, I'm Tracy and I live in Shropshire. I'm a Virtual Assistant and Property Lettings Consultant which means I solve your problems - info@tgva.co.uk","Telford, Shropshire, UK",122,32,156,2010-01-28 21:59:03,2021-05-19 19:30:00,0,"Hi @WolvesHour  Imagine having a brilliant worker at the drop of a hat,  that knows your business &amp; does things just the way you want. No desk/holiday/sick pay/taxes…what could be simpler? Email to book your FREE discovery call info@tgva.co.uk #business #adhoc #wolveshour https://t.co/cBGwRz10q4","[{'text': 'business', 'indices': [248, 257]}, {'text': 'adhoc', 'indices': [258, 264]}, {'text': 'wolveshour', 'indices': [265, 276]}]"
tgvirtualassist,"Hi, I'm Tracy and I live in Shropshire. I'm a Virtual Assistant and Property Lettings Consultant which means I solve your problems - info@tgva.co.uk","Telford, Shropshire, UK",122,32,156,2010-01-28 21:59:03,2021-05-19 19:15:00,0,"Hi @shropshirehour Imagine having a brilliant worker at the drop of a hat,  that knows your business &amp; does things just the way you want. No desk/holiday/sick pay/taxes…what could be simpler? Email to book your FREE discovery call info@tgva.co.uk #business #adhoc #shropshirehour https://t.co/2sr1CHYcrd","[{'text': 'business', 'indices': [251, 260]}, {'text': 'adhoc', 'indices': [261, 267]}, {'text': 'shropshirehour', 'indices': [268, 283]}]"
EHS_Recruitment,"Exclusive Household Staff specialises in global recruitment of the highest caliber private domestic staff. 

+44 (0) 203 358 7000",London,11,2585,1394,2012-05-03 12:02:41,2021-05-19 14:09:23,0,"Temporary Ad-hoc Housekeeper

For more info visit:

https://t.co/2LCvscaRBI

#ehs #ebs #temporary #adhoc #housekeeper #hollandpark #london #housekeeping #laundry #clean #tableservice #experience #freelance #events #new #job #newjob #privatehousehold #vacancy #vacancyalert #apply https://t.co/U3WU4yTglW","[{'text': 'ehs', 'indices': [77, 81]}, {'text': 'ebs', 'indices': [82, 86]}, {'text': 'temporary', 'indices': [87, 97]}, {'text': 'adhoc', 'indices': [98, 104]}, {'text': 'housekeeper', 'indices': [105, 117]}, {'text': 'hollandpark', 'indices': [118, 130]}, {'text': 'london', 'indices': [131, 138]}, {'text': 'housekeeping', 'indices': [139, 152]}, {'text': 'laundry', 'indices': [153, 161]}, {'text': 'clean', 'indices': [162, 168]}, {'text': 'tableservice', 'indices': [169, 182]}, {'text': 'experience', 'indices': [183, 194]}, {'text': 'freelance', 'indices': [195, 205]}, {'text': 'events', 'indices': [206, 213]}, {'text': 'new', 'indices': [214, 218]}, {'text': 'job', 'indices': [219, 223]}, {'text': 'newjob', 'indices': [224, 231]}, {'text': 'privatehousehold', 'indices': [232, 249]}, {'text': 'vacancy', 'indices': [250, 258]}, {'text': 'vacancyalert', 'indices': [259, 272]}, {'text': 'apply', 'indices': [273, 279]}]"
kitynana,#Nosoyniquierosergentedebien,,80,16,273,2012-06-01 16:29:03,2021-05-19 13:45:01,0,"Lean este hilo, aclara lo que está pasando con el Alcalde de Medellín. #AdHoc #Medellin  #RevocatoriaDanielQuintero  #revocatoria https://t.co/J6dQIiTu9O","[{'text': 'AdHoc', 'indices': [71, 77]}, {'text': 'Medellin', 'indices': [78, 87]}, {'text': 'RevocatoriaDanielQuintero', 'indices': [89, 115]}, {'text': 'revocatoria', 'indices': [117, 129]}]"
juan_c1313,"Freelance Work belt.colombia , atleta , runner , CrossFit, trekking.🔥",,438,44,2765,2012-04-15 19:37:43,2021-05-19 13:42:58,0,#uribegolpista   es increíble a los extremos que hemos llegado nombrar un alcalde #Adhoc  en medellin es un golpe de estado @QuinteroCalle  todo mi apoyo,"[{'text': 'uribegolpista', 'indices': [0, 14]}, {'text': 'Adhoc', 'indices': [82, 88]}]"
