username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
hawks_scenery,"piscis como yoongi 
YJY 11:01 Twice 

solo para @bts_twt y por @BTS_twt",Peru,199,158,7712,2020-04-04 20:42:33,2021-07-06 13:58:29,771,"Me siento muy orgulloso de ser parte de esta selección que luchó hasta el último minuto, dejando el corazón en la cancha. Siempre… ¡arriba Perù! 🇵🇪
#unidossomosmásfuertes 
#ArribaPerú 
#copaamerica 
@SeleccionPeru https://t.co/uqkFNfVRHi",[]
Sheii_5HaAsh,♒Deja huellas por donde camines. My body - My Choice💙 💚💛💜❤ *Juro solemnemente que mis intenciones no son buenas*💫 #Sirius 🐕❤,*Ciudad- Eterna primavera*,1713,783,40496,2011-03-03 16:05:09,2021-07-06 13:58:28,771,"Me siento muy orgulloso de ser parte de esta selección que luchó hasta el último minuto, dejando el corazón en la cancha. Siempre… ¡arriba Perù! 🇵🇪
#unidossomosmásfuertes 
#ArribaPerú 
#copaamerica 
@SeleccionPeru https://t.co/uqkFNfVRHi",[]
OmarGar79650624,Club Atlético Bucaramanga,,233,24,256,2019-06-15 00:14:04,2021-07-06 13:58:28,881,"No teníamos equipo en la #CopaAmérica... ¡hasta ahora! 😏

¡Buena suerte, Colombia! ¡Vamos, @RafaelBorre_! 🇨🇴🤞 #SGE https://t.co/4YMH8BjuQe","[{'text': 'CopaAmérica', 'indices': [44, 56]}, {'text': 'SGE', 'indices': [129, 133]}]"
iamgoodsxa,stop,,224,267,13061,2019-12-07 19:55:31,2021-07-06 13:58:27,771,"Me siento muy orgulloso de ser parte de esta selección que luchó hasta el último minuto, dejando el corazón en la cancha. Siempre… ¡arriba Perù! 🇵🇪
#unidossomosmásfuertes 
#ArribaPerú 
#copaamerica 
@SeleccionPeru https://t.co/uqkFNfVRHi",[]
armando49146037,Doctor en Derecho. Miembro del Claustro de Doctores en Derecho de la UNAM. Catedrático de Derecho Financiero y Tributario. Abogado. Escribo sobre Derecho.,,959,620,202850,2020-03-10 00:50:55,2021-07-06 13:58:27,21,"🏆 FINAL | Brasil pasa a la Final de la #CopaAmerica 

🇧🇷 Brasil 1 - 0  Perú 🇵🇪

⚽️ Lucas Paquetá (35')

🆚 Se enfrentarán en la Final al ganador del 🇦🇷 Argentina - Colombia 🇨🇴 de esta madrugada

#CopaAmerica https://t.co/VT4ZEV6pf0","[{'text': 'CopaAmerica', 'indices': [58, 70]}]"
antonio_yatacob,"Gerente de Riesgo de Fraude, Integridad y Cumplimiento Corporativo en @eyb_asesores | Antes Consultor & Auditor en @adeccoperu, @eyperu, @RSM_peru_, @worldcompl","Perú, Lima,",1563,118,25009,2011-10-01 17:51:10,2021-07-06 13:58:26,771,"Me siento muy orgulloso de ser parte de esta selección que luchó hasta el último minuto, dejando el corazón en la cancha. Siempre… ¡arriba Perù! 🇵🇪
#unidossomosmásfuertes 
#ArribaPerú 
#copaamerica 
@SeleccionPeru https://t.co/uqkFNfVRHi",[]
melyssa_fit,"Persigue todo aquello que te hace feliz♡
I♡Fitness💪🙏  I❤☕",,325,264,899,2021-04-23 03:11:00,2021-07-06 13:58:24,529,"🇧🇷😎 ¡@Casemiro, @edermilitao y @vinijr 
están en la Final de la #CopaAmérica! 👏 https://t.co/0aYlWu9CPr","[{'text': 'CopaAmérica', 'indices': [80, 92]}]"
Henry38995705,"Libertad, soy la raza de mi madre y lo sere.. Cuzqueño con orgullo 💪😎",,184,5,930,2019-04-30 20:11:24,2021-07-06 13:58:23,0,"@CopaAmerica @neymarjr @LucasPaqueta97 @CBF_Futebol BRASILLL ES EL APESTOSO DEL BARRIO DE SUR AMÉRICA, EL JUEGA SUCIOO, Y COMPRA A LOS JUECES, EL NIÑO ENGREÍDO, LA BASURA DEL FÚTBOL.",[]
Big_Tesse,esto es una cuenta normal no de roblox Mi vida me lo dedicare a mis estudios que es lo mas importante Roblox es secundario Viva los heteros B),Mi Cuenta de roblox 😎👉,93,58,2505,2019-06-24 02:35:15,2021-07-06 13:58:20,771,"Me siento muy orgulloso de ser parte de esta selección que luchó hasta el último minuto, dejando el corazón en la cancha. Siempre… ¡arriba Perù! 🇵🇪
#unidossomosmásfuertes 
#ArribaPerú 
#copaamerica 
@SeleccionPeru https://t.co/uqkFNfVRHi",[]
GusCobian,¡Soy Del Crema & Soy Felíz! 💛💙🐣,"Mexico,Guadalajara jal.",1851,416,7700,2011-12-20 19:58:21,2021-07-06 13:58:19,56,"¡Hacé lo que quieras, Ney! 😍🎩https://t.co/Qm7NPc2n7D",[]
